O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,U,U,U,U,U,U,U,O,O,O,A,A,O,U,U,U,O,O,G,U,O
O,U,U,U,U,O,U,U,O,U,O,A,A,U,U,U,U,U,O,A,U,O
O,U,U,U,O,O,O,U,O,U,A,A,A,O,O,U,O,O,U,A,U,O
O,O,U,U,U,O,O,O,U,O,A,O,A,U,O,U,U,U,U,A,U,O
O,O,U,U,U,A,A,A,A,O,A,O,A,A,O,O,O,O,O,A,O,O
O,O,O,O,O,A,O,O,A,O,A,U,O,A,A,A,A,A,A,A,O,O
O,C,O,O,A,A,U,O,A,A,A,U,O,O,O,O,O,O,O,C,O,O
O,C,C,O,A,O,O,O,O,A,A,O,O,C,C,C,C,C,C,C,C,O
O,O,A,A,A,C,C,C,O,A,A,U,O,C,C,C,O,O,C,O,O,O
O,U,A,A,A,C,C,C,O,O,O,O,O,O,C,C,C,C,C,C,O,O
O,U,A,O,O,C,C,C,O,U,U,O,C,C,C,C,O,O,O,C,O,O
O,U,A,U,O,O,C,C,O,O,U,O,C,O,C,C,C,C,O,C,C,O
O,O,A,U,O,C,C,C,C,O,O,C,C,O,C,C,O,O,O,O,C,O
O,A,A,U,O,O,O,C,C,C,C,O,O,O,C,C,C,C,C,O,C,O
O,A,O,U,O,C,C,C,O,C,C,O,C,C,C,C,C,C,C,O,C,O
O,A,C,O,C,C,O,O,O,C,C,O,C,C,O,C,C,O,C,C,C,O
O,A,C,C,C,C,O,C,O,O,C,C,C,O,O,C,C,C,O,C,O,O
O,A,C,O,O,C,C,C,C,O,C,C,O,C,C,C,C,C,C,O,C,O
O,A,O,C,C,C,C,C,C,O,C,O,C,O,O,C,C,O,O,C,C,O
O,A,C,C,O,O,C,C,C,O,C,C,C,C,C,O,C,C,C,C,C,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
