1.14092,0.22534,0.57967,0.49911,1.84004,1.63843,0.13880,0.33210,1.62848,0.07098
1.95228,2.00000,1.13292,6.00000,0.97510,10.00000,0.46816,14.00000,0.88056,18.00000
0.98112,4.00000,0.09287,12.00000,0.09410,20.00000,1.81710,28.00000,1.58834,36.00000
0.72919,6.00000,1.47854,18.00000,1.64053,30.00000,1.51703,42.00000,1.53950,54.00000
0.82868,8.00000,1.88845,24.00000,0.39580,40.00000,1.55507,56.00000,0.97302,72.00000
1.01527,10.00000,1.62697,30.00000,0.15524,50.00000,1.00749,70.00000,1.03737,90.00000
0.16139,12.00000,1.42403,36.00000,1.96066,60.00000,0.62575,84.00000,1.55908,108.00000
1.83645,14.00000,0.33760,42.00000,0.73224,70.00000,0.76610,98.00000,1.57090,126.00000
0.33272,16.00000,1.68848,48.00000,1.27197,80.00000,0.68232,112.00000,1.43677,144.00000
1.36365,18.00000,1.43775,54.00000,0.59515,90.00000,1.18226,126.00000,1.13730,162.00000
